country,eastwest,eumember,year,expert,party_id,cmp_id,party,vote,seat,electionyear,epvote,family,govt,position,eu_salience,eu_dissent,eu_benefit,eu_ep,eu_fiscal,eu_intmark,eu_employ,eu_budgets,eu_agri,eu_cohesion,eu_environ,eu_asylum,eu_foreign,eu_turkey,lrgen,lrecon,galtan,lrecon_salience,galtan_salience,spendvtax,spendvtax_salience,deregulation,dereg_salience,redistribution,redist_salience,civlib_laworder,civlib_salience,sociallifestyle,social_salience,religious_principle,relig_salience,immigrate_policy,immigra_salience,multiculturalism,multicult_salience,urban_rural,urban_salience,environment,enviro_salience,cosmo,cosmo_salience,regions,region_salience,international_security,international_salience,us,us_salience,ethnic_minorities,ethnic_salience,econ_interven,nationalism,antielite_salience,corrupt_salience,mip_one,mip_two,mip_three,chesversion
be,west,EU member state,1999,9,102,21322,PS,10.2,12.69999980926514,1999,9.590000152587891,socialist,in government,6.666666507720947,4.7222223,1.388889,,6.333333492279053,6.666666507720947,,6.55555534362793,,,6.625,5.888888835906982,5.666666507720947,6.55555534362793,,3.111111164093018,2.625,3.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,103,21321,SP,9.6,9.300000190734863,1999,8.840000152587891,socialist,in government,6.666666507720947,4.7222223,1.111111,,6.333333492279053,6.666666507720947,,6.55555534362793,,,6.25,6,5.666666507720947,6.55555534362793,,3.333333253860474,3.125,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,104,21111,ECOLO,7.3,7.300000190734863,1999,8.439999580383301,green,.5,5.777777671813965,3.6111112,1.6666665,,6.777777671813965,6.375,,6,,,6.571428775787354,6.777777671813965,5.875,5.111111164093018,,1.888888835906982,1.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,105,21112,AGALEV,7,6,1999,7.460000038146973,green,.5,6,3.6111112,1.6666665,,6.777777671813965,6.375,,6,,,6.571428775787354,6.888888835906982,5.875,5.111111164093018,,2.444444417953491,2.125,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,106,21422,PRL,7.7,9,1999,6.690000057220459,liberal,.5,6.55555534362793,4.166667,.83333343,,6.25,5.625,,4.625,,,5.625,5,5.5,6.55555534362793,,6.666666507720947,7,4.714285850524902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,107,21421,PVV/VLD,14.3,15.30000019073486,1999,13.60999965667725,liberal,.5,6.666666507720947,4.166667,.83333343,,6.25,5.625,,4.625,,,5.375,5.125,5.5,6.55555534362793,,7.111111164093018,7.625,5.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,108,21522,PSC,5.9,6.699999809265137,1999,4.949999809265137,christdem,.5,6.888888835906982,4.7222223,.55555552,,6.375,6,,5.666666507720947,,,6.375,5.55555534362793,5.666666507720947,6.55555534362793,,5.222222328186035,5.25,6.428571224212646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,109,21521,CVP,14.1000003814697,14.69999980926514,1999,13.48999977111816,christdem,.5,6.888888835906982,4.7222223,.83333343,,6.25,6,,5.666666507720947,,,5.875,5.55555534362793,5.55555534362793,6.55555534362793,,5.777777671813965,5.75,7.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,110,21913,VU,5.6,5.300000190734863,1999,7.570000171661377,regionalist,not in government,5,3.6111112,1.875,,6,5.25,,5.400000095367432,,,5.333333492279053,5.44444465637207,5,4.875,,5.125,center,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,111,21912,FDF,2.4,3,1999,3.339999914169312,regionalist,not in government,6.142857074737549,3.6111112,1.4285713,,6.428571224212646,5.5,,5.333333492279053,,,5.285714149475098,5.571428775787354,4.833333492279053,6.285714149475098,,6.111111164093018,6.25,5.800000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,112,21914,VB,9.9,10,1999,9.390000343322754,rad right,not in government,2.222222328186035,1.9444444,1.111111,,4.125,2.857142925262451,,2.5,,,1.600000023841858,3.428571462631226,1.625,3.125,,9.888889312744141,8.75,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,113,,MCC,,,1999,,christdem,not in government,6.428571224212646,3.75,.83333343,,6.5,6.25,,6,,,6.199999809265137,5.400000095367432,5,6.400000095367432,,5.571428775787354,5.800000190734863,5.800000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,114,,ID21,,,1999,,regionalist,not in government,4.625,3.4375,1.4285713,,5.666666507720947,5,,5.400000095367432,,,5.199999809265137,5.666666507720947,5.125,4.875,,5.142857074737549,5.142857074737549,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,1999,9,115,,FN,1.5,.699999988079071,1999,1.519999980926514,rad right,not in government,2.142857074737549,1.5625,2.0833335,,neutral towards expanding EP powers,2.799999952316284,,2.5,,,1.666666626930237,3.599999904632568,1.25,2,,9.888889312744141,8.75,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2002,11,102,21322,PS,10.2,12.69999980926514,1999,9.590000152587891,socialist,in government,6.09,4.5333328,2.1111112,,6,,4.1,6.55,,4.88,5.85,5,6.3,6.33,,3.35,2.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2002,11,103,21321,SP,9.6,9.300000190734863,1999,8.840000152587891,socialist,in government,5.45,5.4666672,4.0444441,,6,,neutral toward expanding EU powers on the internal market,6.56,,3.78,5.43,5.56,6.45,6.55,,3.5,3,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2002,11,104,21111,ECOLO,7.3,7.300000190734863,1999,8.439999580383301,green,in government,5.9,5,2.3444443,,6.67,,3.88,6.33,,3.29,5.5,6.78,5.56,5,,2.56,2.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2002,11,105,21112,AGALEV,7,6,1999,7.460000038146973,green,in government,5.95,4.8333335,2.6666667,,6.7,,3.78,6.33,,3.25,5.33,6.8,5.6,5.1,,2.64,2.45,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2002,11,106,21426,MR,10.1,12,1999,6.690000057220459,liberal,in government,6.22,6.3333335,2.1111112,,5.8,,6.33,4.86,,4.86,5.43,4.86,6.4,6.89,,6.35,7.3,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2002,11,107,21421,VLD,14.3,15.30000019073486,1999,13.60999965667725,liberal,in government,6.54,6.0666666,1.8222224,,6.27,,6.7,4.67,,3.89,4.29,4.78,6.55,6.82,,6.23,7.45,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2002,11,108,21522,CDH,5.9,6.699999809265137,1999,4.949999809265137,christdem,not in government,6.3,4.8000002,1.7777777,,6.11,,5.78,5.63,,6.13,5.57,5.25,6.3,6.44,,5.65,6,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2002,11,109,21521,CD&V,14.1,14.69999980926514,1999,13.48999977111816,christdem,not in government,6.64,5.1666665,1.8222224,,6.18,,5.8,5.78,,6,4.67,5.11,6.45,6.63,,5.95,5.82,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2002,11,110,21916,NVA,5.6,5.300000190734863,1999,7.570000171661377,regionalist,not in government,5,3.9333336,3.9555554,,5.78,,5,4.8,,3.5,4.75,5.2,6.4,5,,6.22,5.67,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2002,11,112,21914,VB,9.9,10,1999,9.390000343322754,rad right,not in government,2.73,2.4333334,1.8222224,,3.33,,2.88,2.6,,2.33,2.33,2.67,3.6,2.75,,9.550000000000001,7.9,9.369999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
be,west,EU member state,2006,7,102,21322,PS,13,16.70000076293945,2003,13.5,socialist,in government,5.71,4.2999997,3.4300001,,6.5,,neutral toward expanding EU powers on the internal market,,,,6.67,,,5.83,6,3.5,3.17,2.83,,,2.670000076293945,6.5,2.329999923706055,6.829999923706055,2,8,3.670000076293945,6.5,2.329999923706055,5.670000076293945,1.330000042915344,5.670000076293945,2.5,6.329999923706055,4.1999998,,4.400000095367432,3,,,3.1700001,4.3299999,6.1700001,7,,,2.6700001,3.5,3.170000076293945,6.329999923706055,,,,,,,,1.1
be,west,EU member state,2006,10,103,21321,SPA,14.9,15.30000019073486,2003,11,socialist,in government,5.6,5,3.5599999,,6.33,,3.89,,,,5.86,,,5.5,5.44,3.22,2.63,2.63,,,1.879999995231628,7,2.220000028610229,8,1.879999995231628,8.25,4,5.130000114440918,1.330000042915344,7.130000114440918,1.629999995231628,3.75,3.75,5.5,3.3800001,,3.200000047683716,3.799999952316284,,,2.3800001,4.8800001,4.8800001,4.5,,,2.71,3.29,3.289999961853027,5.289999961853027,,,,,,,,1.1
be,west,EU member state,2006,7,104,21111,ECOLO,3.1,2.700000047683716,2003,3.700000047683716,green,not in government,5.57,4.2999997,3.8599999,,6.83,,3.67,,,,6.5,,,5.67,6.2,2.83,3.5,1.67,,,2.829999923706055,5.5,2,6.5,2,6,2.329999923706055,6.329999923706055,1.5,7,1.330000042915344,4.670000076293945,2,5.829999923706055,2,,4.599999904632568,3.829999923706055,,,1.5,5.6700001,6.3299999,6.1700001,,,1.5,4.6700001,2.329999923706055,6.829999923706055,,,,,,,,1.1
